Position,Track Name,Artist,Streams,URL
57,death bed (feat. beabadoobee),Powfu,550277,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
58,OUT WEST (feat. Young Thug),JACKBOYS,548890,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
59,Numbers (feat. Roddy Ricch/ Gunna and London On Da Track),A Boogie Wit da Hoodie,546060,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
60,Someone You Loved,Lewis Capaldi,536144,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,SUGAR,BROCKHAMPTON,529107,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
62,PTSD,G Herbo,527252,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
63,Hablamos Mañana,Bad Bunny,516551,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
64,Yummy,Justin Bieber,505830,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
65,Lucid Dreams,Juice WRLD,503486,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
66,The Other Side (from Trolls World Tour),SZA,485236,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
67,HIGHEST IN THE ROOM,Travis Scott,477357,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
68,Robbery,Juice WRLD,474200,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
69,Emotionally Scarred,Lil Baby,473141,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
70,bad guy,Billie Eilish,465490,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
71,10000 Hours (with Justin Bieber),Dan + Shay,458428,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
72,Tusa,KAROL G,458043,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
73,Futsal Shuffle 2020,Lil Uzi Vert,457563,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
74,Grace (feat. 42 Dugg),Lil Baby,456251,https://open.spotify.com/track/01JMnRUs2YOK6DDpdQASGY
75,Life Is Good (feat. Drake/ DaBaby & Lil Baby) - Remix,Future,456176,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
76,Get Ugly,Lil Baby,453005,https://open.spotify.com/track/20Yz5dzjdTCVjXte9KrJbi
77,VIBEZ,DaBaby,451078,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
78,CITY OF ANGELS,24kGoldn,449008,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
79,Suge,DaBaby,440776,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
80,GOODMORNINGTOKYO!,TOKYO’S REVENGE,433976,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
81,How,Lil Baby,430598,https://open.spotify.com/track/2b7rt5gCEy2p2zTp656s4U
82,Forever (feat. Lil Wayne),Lil Baby,418796,https://open.spotify.com/track/3EVzllf30zIBAtKb75bs1W
83,No Sucker (feat. Moneybagg Yo),Lil Baby,418667,https://open.spotify.com/track/6A9wHAasMxed0firnDao1K
84,No Idea,Don Toliver,416319,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
85,Heartless,The Weeknd,415607,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
86,To Die For,Sam Smith,409073,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
87,Money In The Grave (Drake ft. Rick Ross),Drake,405493,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
88,Memories,Maroon 5,401580,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
89,Know Your Worth,Khalid,391086,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
90,Ransom,Lil Tecca,390733,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
91,Wow.,Post Malone,384519,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
92,Make No Sense,YoungBoy Never Broke Again,382678,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
93,Truth Hurts,Lizzo,382255,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
94,Same Thing,Lil Baby,381265,https://open.spotify.com/track/2XEsbmynS9dLSzNSuZzfXF
